Time(min),25nM,12.5nM,6.25nM,3.125nM,1.56nM,0nM,25nMstd,12.5nMstd,6.25nMstd,3.125nMstd,1.56nMstd,0nMstd
320.0,0.6146666666666666,0.6749999999999999,0.7276666666666666,0.734,0.7356666666666666,0.734,0.013650396819628874,0.016522711641858343,0.021594752448993948,0.015000000000000055,0.007767453465154052,0.006244997998398375
330.0,0.6333333333333333,0.695,0.7483333333333332,0.7549999999999999,0.7563333333333332,0.7536666666666667,0.014189197769195201,0.017578395831246863,0.022722969289539072,0.015524174696260037,0.008326663997864492,0.0075718777944003765
340.0,0.654,0.7163333333333334,0.7706666666666666,0.7763333333333332,0.7779999999999999,0.7746666666666666,0.012767145334803706,0.017009801096230733,0.022188585654190154,0.01501110699893034,0.007937253933193805,0.007571877794400398
350.0,0.6706666666666665,0.7343333333333333,0.7893333333333333,0.7939999999999999,0.7956666666666666,0.79,0.013316656236958813,0.017953644012660377,0.022722969289538923,0.017088007490635077,0.009451631252505161,0.008717797887081272
360.0,0.6856666666666666,0.7519999999999999,0.8079999999999999,0.8113333333333332,0.8130000000000001,0.8059999999999999,0.01305118130030134,0.01852025917745213,0.022068076490713833,0.01656301099840646,0.008888194417315668,0.008717797887081354
370.0,0.707,0.7766666666666667,0.8309999999999998,0.8343333333333334,0.835,0.8263333333333334,0.013747727084867432,0.02079262689833422,0.024248711305964198,0.019139836293274197,0.012489995996796737,0.010692676621563684
380.0,0.7239999999999999,0.795,0.8489999999999999,0.852,0.851,0.8413333333333334,0.012767145334803791,0.019467922333931797,0.023643180835073774,0.018681541692269422,0.010816653826392,0.00981495457622363
390.0,0.743,0.8146666666666667,0.8666666666666667,0.8689999999999999,0.8673333333333332,0.8566666666666666,0.012489995996796878,0.01892969448600088,0.024131583730317725,0.019313207915827958,0.01159022576714246,0.011150485789118545
400.0,0.765,0.8373333333333334,0.8873333333333333,0.8889999999999999,0.8879999999999999,0.8746666666666667,0.013114877048604003,0.020599352740640498,0.025324559884296844,0.02066397831977181,0.014177446878757915,0.010969655114602916
410.0,0.7836666666666666,0.8556666666666667,0.9036666666666666,0.9053333333333334,0.9023333333333333,0.8886666666666666,0.012662279942148448,0.02025668613898462,0.02577466456296441,0.022368132093076802,0.014189197769195248,0.011846237095944614
420.0,0.8036666666666665,0.8753333333333333,0.9216666666666665,0.9226666666666666,0.9186666666666667,0.9043333333333333,0.013650396819628874,0.02081665999466135,0.02640706976045111,0.02444040370643108,0.0149777612924407,0.013316656236958744
430.0,0.8226666666666667,0.8933333333333332,0.9383333333333334,0.9383333333333331,0.934,0.9199999999999999,0.014294521094927763,0.021548395145191964,0.026950572040929554,0.024006943440041093,0.01442220510185587,0.01473091986265623
440.0,0.8406666666666666,0.9096666666666667,0.9526666666666667,0.9526666666666667,0.948,0.9333333333333332,0.013316656236958813,0.02003330560175571,0.02478574859336171,0.022479620400116515,0.013453624047073617,0.013279056191361356
450.0,0.86,0.9269999999999999,0.9683333333333333,0.9676666666666667,0.963,0.9463333333333331,0.01571623364550175,0.02137755832643197,0.02631222782915449,0.02345918441321728,0.01442220510185597,0.014153915830374744
460.0,0.8776666666666665,0.943,0.983,0.9823333333333334,0.9769999999999999,0.9593333333333334,0.015947831618540874,0.021931712199461224,0.026851443164195132,0.024006943440041163,0.015132745950421547,0.015044378795195672
470.0,0.894,0.9583333333333334,0.9966666666666666,0.995,0.9893333333333333,0.9703333333333334,0.016093476939431115,0.022501851775650228,0.027392213005402254,0.024979991993593496,0.015307950004273449,0.015885003409925203
480.0,0.9133333333333332,0.9753333333333334,1.0123333333333333,1.0103333333333333,1.0043333333333333,0.9826666666666665,0.01844812546936233,0.02324507116214811,0.028290163190291668,0.026633312473917686,0.016258331197676293,0.016289055630494105
