Time(min),0um,1.56um,3.1um,6.125um,12.5um,25um,50um,100um,500um,0umstd,1.56umstd,3.1umstd,6.125umstd,12.5umstd,25umstd,50umstd,100umstd,500umstd
200.0666667,1.1220958387961682e-08,8.268074601655978e-09,8.858651358917118e-09,1.2402111902483967e-08,2.067018650413994e-08,6.201055951241983e-08,4.736425593234352e-07,1.7321616290469268e-06,2.6062152297934164e-06,3.6881506669964446e-09,2.70636269383074e-09,3.5434605435668475e-09,1.7717302717834237e-09,2.0458178986911373e-09,4.6875576894238176e-09,3.784763112578602e-08,6.05852313441865e-08,4.471645038844819e-08
210.0833333,1.1220958387961682e-08,7.086921087133695e-09,8.268074601655978e-09,1.2402111902483967e-08,2.2441916775923363e-08,6.909748059955353e-08,5.580950356117784e-07,1.9477221454472437e-06,2.8524857375713123e-06,4.458756738640699e-09,1.7717302717834237e-09,2.70636269383074e-09,1.7717302717834237e-09,2.706362693830741e-09,4.6875576894238176e-09,4.757351469507655e-08,6.086952904979707e-08,5.92669596530163e-08
220.0833333,1.358326541700625e-08,8.268074601655978e-09,1.0039804873439404e-08,1.358326541700625e-08,2.539480056222908e-08,7.972786223025406e-08,6.573119308316502e-07,2.1804093878081336e-06,3.105252589679081e-06,2.70636269383074e-09,2.70636269383074e-09,2.70636269383074e-09,2.70636269383074e-09,1.0229089493455686e-09,5.3151908153502714e-09,5.371002583616497e-08,6.189233145537697e-08,7.39966988905723e-08
230.0666667,1.2992688659745104e-08,1.0039804873439404e-08,9.449228116178259e-09,1.417384217426739e-08,2.6575954076751354e-08,8.858651358917119e-08,7.630251703813946e-07,2.416049513955329e-06,3.3645157861167216e-06,2.70636269383074e-09,2.0458178986911373e-09,2.70636269383074e-09,1.7717302717834237e-09,1.7717302717834237e-09,4.6875576894238176e-09,6.189233145537696e-08,5.8983807434883585e-08,9.149747587736338e-08
240.0833333,1.358326541700625e-08,1.0630381630700543e-08,1.0039804873439404e-08,1.5945572446050814e-08,2.834768434853478e-08,1.00398048734394e-07,8.793687915618392e-07,2.654642523888829e-06,3.6190543684962743e-06,4.458756738640699e-09,3.0687268480367053e-09,4.458756738640699e-09,3.5434605435668475e-09,1.7717302717834237e-09,6.707662551291913e-09,7.011964371659518e-08,4.8660801188510935e-08,1.075709260235508e-07
250.0666667,1.2992688659745104e-08,1.0039804873439404e-08,1.0630381630700543e-08,1.4764418931528532e-08,3.0119414620318206e-08,1.116190071223557e-07,1.0016181803148957e-06,2.8891014965215037e-06,3.874774104390347e-06,3.6881506669964446e-09,3.6881506669964446e-09,3.0687268480367053e-09,2.706362693830741e-09,3.5434605435668475e-09,8.119088081492222e-09,7.621186542286652e-08,4.064695748454408e-08,1.2519252207171623e-07
260.0833333,1.417384217426739e-08,1.1220958387961682e-08,1.1811535145222827e-08,1.6536149203311956e-08,3.307229840662391e-08,1.2638342605388422e-07,1.1350885274559133e-06,3.130056813484049e-06,4.121044612168244e-06,3.5434605435668475e-09,2.70636269383074e-09,2.0458178986911373e-09,2.706362693830741e-09,2.0458178986911373e-09,7.1603626454189785e-09,8.506765685142664e-08,3.131170910979194e-08,1.3433641676246316e-07
270.0666667,1.417384217426739e-08,1.0039804873439404e-08,1.358326541700625e-08,1.830787947509538e-08,3.5434605435668474e-08,1.4232899849993504e-07,1.2768269491985871e-06,3.3651063628739823e-06,4.364362236159833e-06,3.0687268480367053e-09,3.6881506669964446e-09,5.1145447467278425e-09,4.091635797382275e-09,4.6875576894238176e-09,1.0381392007870582e-08,9.574449622878404e-08,3.175963445601677e-08,1.5100644644374232e-07
280.0666667,1.358326541700625e-08,1.0039804873439404e-08,1.2992688659745104e-08,1.830787947509538e-08,3.7206335707451897e-08,1.6122745473229156e-07,1.4291957525719616e-06,3.598974758749394e-06,4.6017740925788125e-06,4.458756738640699e-09,1.0229089493455684e-09,2.0458178986911373e-09,3.688150666996444e-09,1.7717302717834237e-09,1.2274907392146823e-08,1.0968045512457301e-07,2.7466581515499036e-08,1.5591561943059018e-07
290.0833333,1.5945572446050814e-08,1.2402111902483967e-08,1.358326541700625e-08,2.067018650413994e-08,4.134037300827988e-08,1.8485052502273719e-07,1.5951478213623428e-06,3.832843154624807e-06,4.840367102512314e-06,3.5434605435668475e-09,3.0687268480367053e-09,2.0458178986911373e-09,3.688150666996444e-09,2.70636269383074e-09,1.7922812687352815e-08,1.2874437854195627e-07,3.6324071470847485e-08,1.6730425597288224e-07
