Time(min),25nM,12.5nM,6.25nM,3.125nM,1.56nM,0nM,25nMstd,12.5nMstd,6.25nMstd,3.125nMstd,1.56nMstd,0nMstd
380.0,9.155910325559833e-06,4.176255275766418e-06,1.0875586237368802e-06,2.808527910180013e-07,2.533667756815877e-07,2.5629852529361845e-07,2.382994750949169e-07,1.2876213062128558e-07,5.4373294651512644e-08,8.259970901285526e-09,7.591985919613389e-09,1.1016602490941101e-08
390.0,8.964625906969245e-06,4.098539932553938e-06,1.078347408974311e-06,2.90334120873265e-07,2.629008892301172e-07,2.682648422194395e-07,2.3693150868373917e-07,1.2628781385120954e-07,5.391449131559155e-08,9.633043726355255e-09,7.79649452209372e-09,1.1550716213576862e-08
400.0,8.74337073439601e-06,4.003394501147701e-06,1.067955811036914e-06,2.971256841715627e-07,2.707879116417091e-07,2.76955710878361e-07,2.516663771939116e-07,1.3339397571313345e-07,5.565555678720235e-08,1.1790876225741326e-08,1.0112818923800601e-08,1.499644417158674e-08
410.0,8.583085003029201e-06,3.938287018220516e-06,1.0630565873881994e-06,3.074377171698647e-07,2.82219759083651e-07,2.8919850654761903e-07,2.3610718457927344e-07,1.3338339783290606e-07,5.6092025086730716e-08,1.1537696188442644e-08,1.2424661911070638e-08,1.2962598969467512e-08
420.0,8.397855889127754e-06,3.864094184979619e-06,1.054504403548291e-06,3.144967303434012e-07,2.894105837244868e-07,2.992494380587274e-07,2.5916265575715735e-07,1.37543149481467e-07,5.6535660439493753e-08,1.2431844975246354e-08,1.1393350705124453e-08,1.560533869876804e-08
430.0,8.237059245438844e-06,3.8055755365112833e-06,1.0502804687028057e-06,3.2500292250056357e-07,3.030030651650977e-07,3.11524299616986e-07,2.587602131107014e-07,1.432799203825189e-07,5.68809408407994e-08,1.4001789929034e-08,1.2394637002844993e-08,1.8344365562338377e-08
440.0,8.099718596377132e-06,3.7512044527665147e-06,1.0492100600262177e-06,3.362036111399956e-07,3.1288243441042174e-07,3.25403492167127e-07,2.477363192472741e-07,1.322237351384392e-07,5.3562711267399995e-08,1.3282058164824227e-08,1.5934889838839218e-08,1.8002402366027104e-08
450.0,7.941018724861653e-06,3.6952806991819833e-06,1.0451445901428188e-06,3.4690783330020934e-07,3.233636342511762e-07,3.3844939785559957e-07,2.7056304389437593e-07,1.368430678044827e-07,5.609298848400453e-08,1.5776146748520146e-08,1.7187637433555434e-08,2.073290106458219e-08
460.0,7.806736007898424e-06,3.648957753978856e-06,1.0451918563644233e-06,3.5740188159835705e-07,3.3507479904515415e-07,3.5234908635716263e-07,2.6488049319209687e-07,1.394256758306819e-07,5.5976264880161255e-08,1.8087690648561455e-08,1.868882151016382e-08,2.143584102316242e-08
470.0,7.698466563654737e-06,3.6042154273813697e-06,1.0480626017298046e-06,3.68289357501385e-07,3.488054435296628e-07,3.684700934837674e-07,2.627362695246751e-07,1.4137021672167672e-07,5.603608343150588e-08,1.756707321031954e-08,1.847250370584931e-08,2.2765939507470886e-08
480.0,7.558703268560407e-06,3.5607548833167727e-06,1.0482015114782294e-06,3.808481215006701e-07,3.600848576883453e-07,3.843021896957278e-07,2.7200105321974937e-07,1.3556416523873923e-07,5.530240233840436e-08,1.897407405567984e-08,1.9726897974974288e-08,2.428287787614664e-08
