,row,model_num,ic value,Evidence,d(ic value)
708,236,1,1110.6799582242759,No support,747.9642964051375
690,230,1,1111.7177972601187,No support,749.0021354409803
687,229,1,1111.7177972601187,No support,749.0021354409803
693,231,1,1111.7177972601187,No support,749.0021354409803
684,228,1,1111.7177972601187,No support,749.0021354409803
696,232,1,1111.7177972601187,No support,749.0021354409803
415,138,2,1116.3280195723307,No support,753.6123577531923
412,137,2,1119.4500610923205,No support,756.7343992731821
409,136,2,1119.4500610923205,No support,756.7343992731821
400,133,2,1119.4500610923205,No support,756.7343992731821
397,132,2,1119.4500610923205,No support,756.7343992731821
406,135,2,1119.4500610923205,No support,756.7343992731821
403,134,2,1119.4500610923205,No support,756.7343992731821
681,227,1,1123.2839121554844,No support,760.568250336346
422,140,3,1123.865502602799,No support,761.1498407836607
425,141,3,1123.865502602799,No support,761.1498407836607
419,139,3,1123.865502602799,No support,761.1498407836607
407,135,3,1123.865502602799,No support,761.1498407836607
413,137,3,1123.865502602799,No support,761.1498407836607
410,136,3,1123.865502602799,No support,761.1498407836607
416,138,3,1123.865502602799,No support,761.1498407836607
404,134,3,1126.1364152077006,No support,763.4207533885622
678,226,1,1126.6600010180948,No support,763.9443391989564
675,225,1,1126.6600010180948,No support,763.9443391989564
672,224,1,1126.6600010180948,No support,763.9443391989564
669,223,1,1126.6600010180948,No support,763.9443391989564
666,222,1,1126.6600010180948,No support,763.9443391989564
394,131,2,1127.9951688216945,No support,765.2795070025561
663,221,1,1128.5657561077023,No support,765.8500942885639
660,220,1,1128.5657561077023,No support,765.8500942885639
657,219,1,1129.196696993876,No support,766.4810351747376
654,218,1,1130.0187879061132,No support,767.3031260869748
391,130,2,1130.5050714435615,No support,767.7894096244231
651,217,1,1130.9565831816897,No support,768.2409213625513
648,216,1,1130.9565831816897,No support,768.2409213625513
645,215,1,1130.9565831816897,No support,768.2409213625513
624,208,1,1131.3701829089828,No support,768.6545210898444
621,207,1,1131.3701829089828,No support,768.6545210898444
627,209,1,1131.3701829089828,No support,768.6545210898444
630,210,1,1131.3701829089828,No support,768.6545210898444
636,212,1,1131.3701829089828,No support,768.6545210898444
639,213,1,1131.3701829089828,No support,768.6545210898444
642,214,1,1131.3701829089828,No support,768.6545210898444
633,211,1,1131.3701829089828,No support,768.6545210898444
618,206,1,1134.6001456017323,No support,771.8844837825939
612,204,1,1135.2798350535236,No support,772.5641732343852
615,205,1,1135.2798350535236,No support,772.5641732343852
609,203,1,1135.2798350535236,No support,772.5641732343852
606,202,1,1136.9286711759855,No support,774.2130093568471
576,192,1,1137.8205185490135,No support,775.1048567298751
579,193,1,1137.8205185490135,No support,775.1048567298751
600,200,1,1137.8205185490135,No support,775.1048567298751
573,191,1,1137.8205185490135,No support,775.1048567298751
597,199,1,1137.8205185490135,No support,775.1048567298751
582,194,1,1137.8205185490135,No support,775.1048567298751
585,195,1,1137.8205185490135,No support,775.1048567298751
594,198,1,1137.8205185490135,No support,775.1048567298751
588,196,1,1137.8205185490135,No support,775.1048567298751
591,197,1,1137.8205185490135,No support,775.1048567298751
603,201,1,1137.8205185490135,No support,775.1048567298751
570,190,1,1137.8205185490135,No support,775.1048567298751
558,186,1,1137.9678017668339,No support,775.2521399476955
564,188,1,1137.9678017668339,No support,775.2521399476955
567,189,1,1137.9678017668339,No support,775.2521399476955
561,187,1,1137.9678017668339,No support,775.2521399476955
555,185,1,1138.6615922363671,No support,775.9459304172287
552,184,1,1142.008146904597,No support,779.2924850854586
549,183,1,1142.91894091378,No support,780.2032790946416
546,182,1,1142.91894091378,No support,780.2032790946416
540,180,1,1142.91894091378,No support,780.2032790946416
528,176,1,1142.91894091378,No support,780.2032790946416
537,179,1,1142.91894091378,No support,780.2032790946416
531,177,1,1142.91894091378,No support,780.2032790946416
543,181,1,1142.91894091378,No support,780.2032790946416
534,178,1,1142.91894091378,No support,780.2032790946416
525,175,1,1145.3864796155924,No support,782.670817796454
522,174,1,1145.5050690688975,No support,782.789407249759
385,128,2,1146.205850471369,No support,783.4901886522307
388,129,2,1146.205850471369,No support,783.4901886522307
519,173,1,1149.8413194355494,No support,787.125657616411
513,171,1,1149.8413194355494,No support,787.125657616411
516,172,1,1149.8413194355494,No support,787.125657616411
401,133,3,1150.6228986993415,No support,787.9072368802031
382,127,2,1151.4567014608442,No support,788.7410396417058
379,126,2,1151.6297602992545,No support,788.9140984801161
510,170,1,1154.3587900566026,No support,791.6431282374642
504,168,1,1155.645448227203,No support,792.9297864080645
507,169,1,1155.645448227203,No support,792.9297864080645
468,156,1,1155.6849603935116,No support,792.9692985743732
471,157,1,1155.6849603935116,No support,792.9692985743732
483,161,1,1155.6849603935116,No support,792.9692985743732
477,159,1,1155.6849603935116,No support,792.9692985743732
480,160,1,1155.6849603935116,No support,792.9692985743732
486,162,1,1155.6849603935116,No support,792.9692985743732
489,163,1,1155.6849603935116,No support,792.9692985743732
492,164,1,1155.6849603935116,No support,792.9692985743732
495,165,1,1155.6849603935116,No support,792.9692985743732
498,166,1,1155.6849603935116,No support,792.9692985743732
474,158,1,1155.6849603935116,No support,792.9692985743732
501,167,1,1155.6849603935116,No support,792.9692985743732
465,155,1,1157.8112833579944,No support,795.095621538856
462,154,1,1158.5217277837814,No support,795.806065964643
459,153,1,1160.6873405964266,No support,797.9716787772882
444,148,1,1164.3541251841152,No support,801.6384633649768
456,152,1,1164.3541251841152,No support,801.6384633649768
447,149,1,1164.3541251841152,No support,801.6384633649768
453,151,1,1164.3541251841152,No support,801.6384633649768
450,150,1,1164.3541251841152,No support,801.6384633649768
376,125,2,1165.9007390695851,No support,803.1850772504467
441,147,1,1169.9893315702852,No support,807.2736697511468
438,146,1,1172.9750944379314,No support,810.259432618793
370,123,2,1174.9272245601596,No support,812.2115627410212
361,120,2,1174.9272245601596,No support,812.2115627410212
364,121,2,1174.9272245601596,No support,812.2115627410212
373,124,2,1174.9272245601596,No support,812.2115627410212
367,122,2,1174.9272245601596,No support,812.2115627410212
352,117,2,1175.4558884331284,No support,812.74022661399
358,119,2,1175.4558884331284,No support,812.74022661399
346,115,2,1175.4558884331284,No support,812.74022661399
355,118,2,1175.4558884331284,No support,812.74022661399
349,116,2,1175.4558884331284,No support,812.74022661399
343,114,2,1175.4558884331284,No support,812.74022661399
337,112,2,1175.4558884331284,No support,812.74022661399
340,113,2,1175.4558884331284,No support,812.74022661399
435,145,1,1178.9341891867543,No support,816.2185273676159
423,141,1,1180.4219317177183,No support,817.7062698985799
429,143,1,1180.4219317177183,No support,817.7062698985799
420,140,1,1180.4219317177183,No support,817.7062698985799
417,139,1,1180.4219317177183,No support,817.7062698985799
432,144,1,1180.4219317177183,No support,817.7062698985799
411,137,1,1180.4219317177183,No support,817.7062698985799
426,142,1,1180.4219317177183,No support,817.7062698985799
414,138,1,1180.4219317177183,No support,817.7062698985799
322,107,2,1182.9239273209537,No support,820.2082655018153
331,110,2,1182.9239273209537,No support,820.2082655018153
